,species,island,bill_length_mm,bill_depth_mm,flipper_length_cm,body_mass_g,sex,year, 
235,Gentoo,Biscoe,47.4,14.6,2.12,4725,female,2009,
236,Gentoo,Biscoe,50,15.9,2.24,5350,male,2009,
237,Gentoo,Biscoe,44.9,13.8,2.12,4750,female,2009,
238,Gentoo,Biscoe,50.8,17.3,2.28,5600,male,2009,
239,Gentoo,Biscoe,43.4,14.4,2.18,4600,female,2009,
240,Gentoo,Biscoe,51.3,14.2,2.18,5300,male,2009,
241,Gentoo,Biscoe,47.5,14,2.12,4875,female,2009,
242,Gentoo,Biscoe,52.1,17,2.3,5550,male,2009,
243,Gentoo,Biscoe,47.5,15,2.18,4950,female,2009,
244,Gentoo,Biscoe,52.2,17.1,2.28,5400,male,2009,
245,Gentoo,Biscoe,45.5,14.5,2.12,4750,female,2009,
246,Gentoo,Biscoe,49.5,16.1,2.24,5650,male,2009,
247,Gentoo,Biscoe,44.5,14.7,2.14,4850,female,2009,
248,Gentoo,Biscoe,50.8,15.7,2.26,5200,male,2009,
249,Gentoo,Biscoe,49.4,15.8,2.16,4925,male,2009,
250,Gentoo,Biscoe,46.9,14.6,2.22,4875,female,2009,
251,Gentoo,Biscoe,48.4,14.4,2.03,4625,female,2009,
252,Gentoo,Biscoe,51.1,16.5,2.25,5250,male,2009,
253,Gentoo,Biscoe,48.5,15,2.19,4850,female,2009,
254,Gentoo,Biscoe,55.9,17,2.28,5600,male,2009,
255,Gentoo,Biscoe,47.2,15.5,2.15,4975,,2009,
256,Gentoo,Biscoe,49.1,15,2.28,5500,male,2009,
257,Gentoo,Biscoe,47.3,13.8,2.16,4725,NA,2009,
258,Gentoo,Biscoe,46.8,16.1,2.15,5500,male,2009,
259,Gentoo,Biscoe,41.7,14.7,2.1,4700,female,2009,
260,Gentoo,Biscoe,53.4,15.8,2.19,5500,male,2009,
261,Gentoo,Biscoe,43.3,14,2.08,4575,female,2009,
262,Gentoo,Biscoe,48.1,15.1,2.09,5500,male,2009,
263,Gentoo,Biscoe,50.5,15.2,2.16,5000,female,2009,
264,Gentoo,Biscoe,49.8,15.9,2.29,5950,male,2009,
265,Gentoo,Biscoe,43.5,15.2,2.13,4650,female,2009,
266,Gentoo,Biscoe,51.5,16.3,2.3,5500,male,2009,
267,Gentoo,Biscoe,46.2,14.1,2.17,4375,female,2009,
268,Gentoo,Biscoe,55.1,16,2.3,5850,male,2009,
269,Gentoo,Biscoe,44.5,15.7,2.17,4875,NA,2009,
270,Gentoo,Biscoe,48.8,16.2,2.22,6000,male,2009,
271,Gentoo,Biscoe,47.2,13.7,2.14,4925,female,2009,
272,Gentoo,Biscoe,NA,NA,,NA,NA,2009,
273,Gentoo,Biscoe,46.8,14.3,2.15,4850,female,2009,
274,Gentoo,Biscoe,50.4,15.7,2.22,5750,male,2009,
275,Gentoo,Biscoe,45.2,14.8,2.12,5200,female,2009,
276,Gentoo,Biscoe,49.9,16.1,2.13,5400,male,2009,
277,Chinstrap,Dream,46.5,17.9,1.92,3500,female,2007,
278,Chinstrap,Dream,50,19.5,1.96,3900,male,2007,
279,Chinstrap,Dream,51.3,19.2,1.93,3650,male,2007,
280,Chinstrap,Dream,45.4,18.7,1.88,3525,female,2007,
281,Chinstrap,Dream,52.7,19.8,1.97,3725,male,2007,
282,Chinstrap,Dream,45.2,17.8,1.98,3950,female,2007,
283,Chinstrap,Dream,46.1,18.2,17,3250,female,2007,
284,Chinstrap,Dream,51.3,18.2,1.97,3750,male,2007,
285,Chinstrap,Dream,46,18.9,1.95,4150,female,2007,
286,Chinstrap,Dream,51.3,19.9,1.98,3700,male,2007,
287,Chinstrap,Dream,46.6,17.8,1.93,3800,female,2007,
288,Chinstrap,Dream,51.7,20.3,1.94,3775,male,2007,
289,Chinstrap,Dream,47,17.3,1.85,3700,female,2007,
290,Chinstrap,Dream,52,18.1,2.01,4050,male,2007,
291,Chinstrap,Dream,45.9,17.1,1.9,3575,female,2007,
292,Chinstrap,Dream,50.5,19.6,2.01,4050,male,2007,
293,Chinstrap,Dream,50.3,20,1.97,3300,male,2007,
294,Chinstrap,Dream,58,17.8,1.81,3700,female,2007,
295,Chinstrap,Dream,46.4,18.6,1.9,3450,female,2007,
296,Chinstrap,Dream,49.2,18.2,1.95,4400,male,2007,
297,Chinstrap,Dream,42.4,17.3,1.81,3600,female,2007,
298,Chinstrap,Dream,48.5,17.5,1.91,3400,male,2007,
299,Chinstrap,Dream,43.2,16.6,1.87,2900,female,2007,
300,Chinstrap,Dream,50.6,19.4,1.93,3800,male,2007,
301,Chinstrap,Dream,46.7,17.9,1.95,3300,female,2007,
302,Chinstrap,Dream,52,19,1.97,4150,male,2007,
303,Chinstrap,Dream,50.5,18.4,2,3400,female,2008,
304,Chinstrap,Dream,49.5,19,2,3800,male,2008,
305,Chinstrap,Dream,46.4,17.8,1.91,3700,female,2008,
306,Chinstrap,Dream,52.8,20,2.05,4550,male,2008,
307,Chinstrap,Dream,40.9,16.6,1.87,3200,female,2008,
308,Chinstrap,Dream,54.2,20.8,2.01,4300,male,2008,
309,Chinstrap,Dream,42.5,16.7,1.87,3350,female,2008,
310,Chinstrap,Dream,51,18.8,2.03,4100,male,2008,
311,Chinstrap,Dream,49.7,18.6,1.95,3600,male,2008,
312,Chinstrap,Dream,47.5,16.8,1.99,3900,female,2008,
313,Chinstrap,Dream,47.6,18.3,1.95,3850,female,2008,
314,Chinstrap,Dream,52,20.7,2.1,4800,male,2008,
315,Chinstrap,Dream,46.9,16.6,1.92,2700,female,2008,
316,Chinstrap,Dream,53.5,19.9,2.05,4500,male,2008,
317,Chinstrap,Dream,49,19.5,2.1,3950,mae,2008,
318,Chinstrap,Dream,46.2,17.5,1.87,3650,female,2008,
319,Chinstrap,Dream,50.9,19.1,1.96,3550,male,2008,
320,Chinstrap,Dream,45.5,17,1.96,3500,female,2008,
321,Chinstrap,Dream,50.9,17.9,1.96,3675,female,2009,
322,Chinstrap,Dream,50.8,18.5,2.01,4450,male,2009,
323,Chinstrap,Dream,50.1,17.9,1.9,3400,female,2009,
324,Chinstrap,Dream,49,19.6,2.12,4300,male,2009,
325,Chinstrap,Dream,51.5,18.7,1.87,3250,male,2009,
326,Chinstrap,Dream,49.8,17.3,'1.9 7 ,3675,female,2009,
327,Chinstrap,Dream,48.1,16.4,1.99,3325,female,2009,
328,Chinstrap,Dream,51.4,19,2.01,3950,male,2009,
329,Chinstrap,Dream,45.7,17.3,1.93,3600,female,2009,
330,Chinstrap,Dream,50.7,19.7,2.03,4050,male,2009,
331,Chinstrap,Dream,42.5,17.3,1.87,3350,female,2009,
332,Chinstrap,Dream,52.2,18.8,1.97,3450,male,2009,
333,Chinstrap,Dream,45.2,16.6,1.91,3250,female,2009,
334,Chinstrap,Dream,49.3,19.9,2.03,4050,male,2009,
335,Chinstrap,Dream,50.2,18.8,2.02,3800,male,2009,
336,Chinstrap,Dream,45.6,19.4,1.94,3525,female,2009,
337,Chinstrap,Dream,51.9,19.5,2.06,3950,male,2009,
338,Chinstrap,Dream,46.8,16.5,1.89,3650,female,2009,
339,Chinstrap,Dream,45.7,17,1.95,3650,female,2009,
340,Chinstrap,Dream,55.8,19.8,2.07,4000,male,2009,
341,Chinstrap,Dream,43.5,18.1,2.02,3400,female,2009,
342,Chinstrap,Dream,49.6,18.2,1.93,3775,male,2009,
343,Chinstrap,Dream,50.8,19,2.1,4100,male,2009,
344,Chinstrap,Dream,50.2,18.7,1.98,3775,female,2009,
345,ADELIE,DREAM,46.1,13.2,2.11,4500,female,2010,
346,ADELIE,DREAM,50,16.3,2.3,5700,male,2010,
347,ADELIE,DREAM,48.7,14.1,2.1,4450,female,2010,
348,ADELIE,DREAM,50,15.2,2.18,5700,male,2010,
349,ADELIE,DREAM,47.6,14.5,2.15,5400,male,2010,
350,ADELIE,DREAM,46.5,13.5,2.1,4550,female,2010,
351,ADELIE,DREAM,45.4,14.6,2.11,4800,female,2010,
352,ADELIE,DREAM,46.7,15.3,2.19,5200,male,2010,
353,ADELIE,DREAM,43.3,13.4,2.09,4400,female,2010,
354,Gentoo,Biscoe,46.8,15.4,2.15,5150,male,2010,
355,Gentoo,Biscoe,40.9,13.7,2.14,4650,female,2010,
356,Gentoo,Biscoe,49,16.1,2.16,5550,male,2010,
357,Gentoo,Biscoe,45.5,13.7,2.14,4650,female,2010,
358,Gentoo,Biscoe,48.4,14.6,2.13,5850,male,2010,
359,Gentoo,Biscoe,45.8,14.6,2.1,4200,female,2010,
360,Gentoo,Biscoe,49.3,15.7,2.17,5850,male,2010,
361,Gentoo,Biscoe,42,13.5,2.1,4150,female,2010,
362,Gentoo,Biscoe,49.2,15.2,2.21,6300,male,2010,
363,Gentoo,Biscoe,46.2,14.5,2.09,4800,female,2010,
364,Gentoo,Biscoe,48.7,15.1,2.22,5350,male,2010,
365,Gentoo,Biscoe,50.2,14.3,2.18,5700,male,2010,
366,Gentoo,Biscoe,45.1,14.5,2.15,5000,female,2010,
367,Gentoo,Biscoe,46.5,14.5,2.13,4400,female,2010,
368,Gentoo,Biscoe,46.3,15.8,2.15,5050,male,2010,
369,Gentoo,Biscoe,42.9,13.1,2.15,5000,female,2010,
370,Gentoo,Biscoe,46.1,15.1,2.15,5100,male,2010,
371,Gentoo,Biscoe,44.5,14.3,2.16,4100,NA,2010,
372,Gentoo,Biscoe,47.8,15,2.15,5650,male,2010,
373,Gentoo,Biscoe,48.2,14.3,2.1,4600,female,2010,
374,Gentoo,Biscoe,50,15.3,2.2,5550,male,2010,
375,Gentoo,Biscoe,47.3,15.3,2.22,5250,male,2010,
376,Gentoo,Biscoe,42.8,14.2,2.09,4700,female,2010,
377,Gentoo,Biscoe,45.1,14.5,2.07,5050,female,2010,
378,Gentoo,Biscoe,59.6,17,2.3,6050,male,2010,
379,Gentoo,Biscoe,49.1,14.8,2.2,5150,female,2010,
380,Gentoo,Biscoe,48.4,16.3,2.2,5400,male,2010,
381,Gentoo,Biscoe,42.6,13.7,2.13,4950,female,2010,
382,Gentoo,Biscoe,44.4,17.3,2.19,5250,male,2010,
383,Gentoo,Biscoe,44,13.6,2.08,4350,female,2010,
384,Gentoo,Biscoe,48.7,15.7,2.08,5350,male,2010,
385,Gentoo,Biscoe,42.7,13.7,2.08,3950,female,2010,
386,Gentoo,Biscoe,49.6,16,2.25,5700,male,2010,
387,Gentoo,Biscoe,45.3,13.7,2.1,4300,female,2010,
388,Gentoo,Biscoe,49.6,15,2.16,4750,male,2010,
389,Gentoo,Biscoe,50.5,15.9,2.22,5550,male,2010,
390,Gentoo,Biscoe,43.6,13.9,2.17,4900,female,2010,
391,Gentoo,Biscoe,45.5,13.9,2.1,4200,female,2010,
392,Gentoo,Biscoe,50.5,15.9,2.25,5400,male,2010,
393,Gentoo,Biscoe,44.9,13.3,2.13,5100,female,2010,
394,Gentoo,Biscoe,45.2,15.8,2.15,5300,male,2010,
395,Gentoo,Biscoe,46.6,14.2,2.1,4850,female,2010,
396,Gentoo,Biscoe,48.5,14.1,2.2,5300,male,2010,
397,Gentoo,Biscoe,45.1,14.4,2.1,4400,female,2010,
398,Gentoo,Biscoe,50.1,15,2.25,5000,male,2010,
399,Gentoo,Biscoe,46.5,14.4,2.17,4900,female,2010,
400,Gentoo,Biscoe,4,15.4,2.2,5050,male,2010,
401,Gentoo,Biscoe,43.8,13.9,2.08,4300,female,2010,
402,Gentoo,Biscoe,45.5,15,2.2,5000,male,2010,
403,Gentoo,Biscoe,43.2,14.5,2.08,4450,female,2010,
404,Gentoo,Biscoe,50.4,15.3,2.24,5550,male,2010,
405,Gentoo,Biscoe,45.3,13.8,2.08,4200,female,2010,
406,Gentoo,Biscoe,46.2,14.9,2.21,5300,male,2010,
407,Gentoo,Biscoe,45.7,13.9,2.14,4400,female,2010,
408,Gentoo,Biscoe,54.3,15.7,2.31,5650,male,2010,
409,Gentoo,Biscoe,45.8,14.2,2.19,4700,female,2010,
410,Gentoo,Biscoe,49.8,16.8,2.3,5700,male,2010,
411,Gentoo,Biscoe,46.2,14.4,2.14,4650,NA,2010,
412,Gentoo,Biscoe,49.5,16.2,2.29,5800,male,2010,
413,Gentoo,Biscoe,43.5,14.2,2.2,4700,female,2010,
414,Gentoo,Biscoe,50.7,15,2.23,5550,male,2010,
415,Gentoo,Biscoe,47.7,15,2.16,4750,female,2010,
416,Gentoo,Biscoe,46.4,15.6,2.21,5000,male,2010,
417,Gentoo,Biscoe,48.2,15.6,2.21,5100,male,2010,
418,Gentoo,Biscoe,46.5,14.8,2.17,5200,female,2010,
419,Gentoo,Biscoe,46.4,15,2.16,4700,female,2010,
420,Gentoo,Biscoe,48.6,16,2.3,5800,male,2010,
421,Gentoo,Biscoe,47.5,14.2,2.09,4600,female,2010,
422,Gentoo,Biscoe,51.1,16.3,2.2,6000,male,2010,
423,Gentoo,Biscoe,45.2,13.8,2.15,4750,female,2010,
424,Gentoo,Biscoe,45.2,16.4,2.23,5950,male,2010,
425,Gentoo,Biscoe,49.1,14.5,2.12,4625,female,2010,
426,Gentoo,Biscoe,52.5,15.6,2.21,5450,male,2010,
427,Gentoo,Biscoe,47.4,14.6,2.12,4725,female,2010,
428,Gentoo,Biscoe,50,15.9,2.24,5350,male,2010,
429,Gentoo,Biscoe,44.9,13.8,2.12,4750,female,2010,
430,Gentoo,Biscoe,50.8,17.3,2.28,5600,male,2010,
431,Gentoo,Biscoe,43.4,14.4,2.18,4600,female,2010,
432,Gentoo,Biscoe,51.3,14.2,2.18,5300,male,2010,
433,Gentoo,Biscoe,47.5,14,2.12,4875,female,2010,
434,Gentoo,Biscoe,52.1,17,2.3,5550,male,2010,
435,Gentoo,Biscoe,47.5,15,2.18,4950,female,2010,
436,Gentoo,Biscoe,52.2,17.1,2.28,5400,male,2010,
437,Gentoo,Biscoe,45.5,14.5,2.12,4750,female,2010,
438,Gentoo,Biscoe,49.5,16.1,2.24,5650,male,2010,
439,Gentoo,Biscoe,44.5,14.7,2.14,4850,female,2010,
440,Gentoo,Biscoe,50.8,15.7,2.26,5200,male,2010,
441,Gentoo,Biscoe,49.4,15.8,2.16,4925,male,2010,
442,Gentoo,Biscoe,46.9,14.6,2.22,4875,female,2010,
443,Gentoo,Biscoe,48.4,14.4,2.03,4625,female,2010,
444,Gentoo,Biscoe,51.1,16.5,2.25,5250,male,2010,
445,Gentoo,Biscoe,48.5,15,2.19,4850,female,2010,
446,Gentoo,Biscoe,55.9,17,2.28,5600,male,2010,
447,Gentoo,Biscoe,47.2,15.5,2.15,4975,female,2010,
448,Gentoo,Biscoe,49.1,15,2.28,5500,male,2010,
449,Gentoo,Biscoe,47.3,13.8,2.16,4725,NA,2010,
450,Gentoo,Biscoe,46.8,16.1,2.15,5500,male,2010,
451,Gentoo,Biscoe,41.7,14.7,2.1,4700,female,2010,
452,Gentoo,Biscoe,53.4,15.8,2.19,5500,male,2010,
453,Gentoo,Biscoe,43.3,14,2.08,4575,female,2010,
454,Gentoo,Biscoe,48.1,15.1,2.09,5500,male,2010,
455,Gentoo,Biscoe,50.5,15.2,2.16,5000,female,2010,
456,Gentoo,Biscoe,49.8,15.9,2.29,5950,male,2010,
457,Gentoo,Biscoe,43.5,15.2,2.13,4650,female,2010,
458,Gentoo,Biscoe,51.5,16.3,2.3,5500,male,2010,
459,Gentoo,Biscoe,46.2,14.1,2.17,4375,female,2010,
460,Gentoo,Biscoe,55.1,16,2.3,5850,male,2010,
461,Gentoo,Biscoe,44.5,15.7,2.17,4875,NA,2010,
462,Gentoo,Biscoe,48.8,16.2,2.22,6000,male,2010,
463,Gentoo,Biscoe,47.2,13.7,2.14,4925,female,2010,
464,Gentoo,Biscoe,NA,NA,,NA,NA,2010,
465,Gentoo,Biscoe,46.8,14.3,2.15,4850,female,2010,
466,Gentoo,Biscoe,50.4,15.7,2.22,5750,male,2010,
467,Gentoo,Biscoe,45.2,14.8,2.12,5200,female,2010,
468,Gentoo,Biscoe,49.9,16.1,2.13,5400,male,2010,
